"";"BVMF3.SA.Open";"BVMF3.SA.High";"BVMF3.SA.Low";"BVMF3.SA.Close";"BVMF3.SA.Volume";"BVMF3.SA.Adjusted"
"1";11.9;12.1;11.8;12.07;5065;9.231656
"2";NA;NA;NA;NA;NA;NA
"3";12.07;12.1;11.75;11.8;14752500;9.025148
"4";11.7;11.86;11.61;11.7;7371700;8.948664
"5";11.63;11.65;11.33;11.54;12827000;8.826286
"6";NA;NA;NA;NA;NA;NA
"7";11.51;11.61;11.34;11.37;12759000;8.696265
"8";11.36;11.39;11.09;11.1;12433000;8.489758
"9";11.17;11.33;11.01;11.01;8425400;8.420923
"10";11.05;11.24;11.01;11.02;12932900;8.42857
"11";11;11.11;10.97;11;7299800;8.413271
"12";11.05;11.19;11.01;11.03;10408000;8.436217
"13";11.04;11.17;11.01;11.12;9056100;8.505054
"14";11.18;11.18;11;11.06;13271500;8.459167
"15";11.1;11.19;11.07;11.19;5460600;8.558594
"16";11.24;11.29;11.14;11.14;2805500;8.520351
"17";11.23;11.33;11.04;11.32;6719800;8.658023
"18";11.27;11.64;11.03;11.05;17895300;8.451519
"19";11.09;11.24;11.07;11.2;8260900;8.566245
"20";11.14;11.38;11.11;11.32;9449400;8.658023
"21";11.32;11.37;11.12;11.12;7291400;8.505054
"22";11.2;11.22;11;11.05;9501900;8.451519
"23";10.91;11.14;10.9;11.14;11208100;8.520351
"24";11.09;11.46;11.06;11.4;13909800;8.719211
"25";11.39;11.4;11.2;11.3;7928800;8.642726
"26";11.34;11.45;11.12;11.18;6666900;8.550942
"27";11.26;11.31;11;11.13;12925800;8.512705
"28";11.01;11.11;10.68;10.68;23731900;8.168525
"29";10.72;10.85;10.36;10.48;13851400;8.015553
"30";10.6;10.9;10.52;10.9;9849800;8.336789
"31";10.82;11.02;10.56;10.56;18711000;8.076743
"32";10.64;10.72;10.53;10.59;7730600;8.099688
"33";10.5;10.61;10.33;10.43;12540200;8.003046
"34";10.48;10.55;10.31;10.33;7028800;7.926317
"35";10.39;10.45;10.22;10.22;9185400;7.841914
"36";10.25;10.63;10.23;10.62;13271900;8.14884
"37";10.64;10.68;10.38;10.47;10563200;8.033741
"38";10.5;10.52;10.26;10.33;17770800;7.926317
"39";10.32;10.87;10.24;10.87;19269000;8.340665
"40";10.8;10.95;10.74;10.8;3622700;8.286953
"41";10.75;10.79;10.52;10.55;9205200;8.095125
"42";10.52;10.52;10.36;10.47;10055200;8.033741
"43";10.66;10.71;10.51;10.62;11119100;8.14884
