"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Class"
-122.23,452600,129,41,880,"D",126,322,83.252,37.88,1
-122.22,358500,1106,21,7099,"D",1138,2401,83.014,37.86,2
-122.24,352100,190,52,1467,"D",177,496,72.574,37.85,1
-122.25,341300,235,52,1274,"D",219,558,56.431,37.85,1
-122.25,342200,280,52,1627,"D",259,565,38.462,37.85,1
-122.25,269700,213,52,919,"D",193,413,40.368,37.85,1
-122.25,299200,489,52,2535,"D",514,1094,36.591,37.84,1
-122.25,241400,687,52,3104,"D",647,1157,3.12,37.84,1
-122.26,226700,665,42,2555,"D",595,1206,20.804,37.84,1
-122.25,261100,707,52,3549,"D",714,1551,36.912,37.84,1
-122.26,281500,434,52,2202,"D",402,910,32.031,37.85,1
-122.26,241800,752,52,3503,"D",734,1504,32.705,37.85,1
-122.26,213500,474,52,2491,"D",468,1098,3.075,37.85,1
-122.26,191300,191,52,696,"D",174,345,26.736,37.84,1
-122.26,159200,626,52,2643,"D",620,1212,19.167,37.85,1
-122.26,140000,283,50,1120,"D",264,697,2.125,37.85,1
-122.27,152500,347,52,1966,"D",331,793,2.775,37.85,1
-122.27,155500,293,52,1228,"D",303,648,21.202,37.85,1
-122.26,158700,455,50,2239,"D",419,990,19.911,37.84,1
-122.27,162900,298,52,1503,"D",275,690,26.033,37.84,1
-122.27,147500,184,40,751,"D",166,409,13.578,37.85,1
-122.27,159800,367,42,1639,"D",366,929,17.135,37.85,1
-122.27,113900,541,52,2436,"D",478,1015,1.725,37.84,1
-122.27,99700,337,52,1688,"D",325,853,21.806,37.84,1
-122.27,132600,437,52,2224,"D",422,1006,2.6,37.84,1
-122.28,107500,123,41,535,"D",119,317,24.038,37.85,1
-122.28,93800,244,49,1130,"D",239,607,24.597,37.85,1
-122.28,105500,421,52,1898,"D",397,1102,1.808,37.85,1
-122.28,108900,492,50,2082,"D",473,1131,16.424,37.84,1
-122.28,132000,160,52,729,"D",155,395,16.875,37.84,1
-122.28,122300,447,49,1916,"D",378,863,19.274,37.84,1
-122.28,115200,481,52,2153,"D",441,1168,19.615,37.84,1
-122.27,110400,409,48,1922,"D",335,1026,17.969,37.84,1
-122.27,104900,366,49,1655,"D",329,754,1.375,37.83,1
-122.27,109700,574,51,2665,"D",536,1258,27.303,37.83,1
-122.27,97200,282,49,1215,"D",264,570,14.861,37.83,1
-122.27,104500,432,48,1798,"D",374,987,10.972,37.83,1
-122.28,103900,390,52,1511,"D",403,901,14.103,37.83,1
-122.26,191400,330,52,1470,"D",309,689,3.48,37.83,1
-122.26,176000,715,52,2432,"D",696,1377,25.898,37.83,1
-122.26,155400,419,52,1665,"D",395,946,20.978,37.83,1
-122.26,150000,311,51,936,"D",249,517,12.852,37.83,1
-122.26,118800,202,49,713,"D",189,462,1.025,37.84,1
-122.26,188800,202,52,950,"D",198,467,39.643,37.84,1
-122.26,184400,311,52,1443,"D",292,660,30.125,37.83,1
-122.26,182300,420,52,1656,"D",382,718,26.768,37.83,1
-122.26,142500,322,50,1125,"D",304,616,2.026,37.83,1
-122.27,137500,312,43,1007,"D",253,558,17.348,37.82,1
-122.26,187500,195,40,624,"D",160,423,0.9506,37.82,1
-122.27,112500,375,40,946,"D",352,700,1.775,37.82,1
-122.27,171900,453,21,896,"D",438,735,0.9218,37.82,1
-122.27,93800,456,43,1868,"D",407,1061,15.045,37.82,1
-122.27,97500,853,41,3221,"D",720,1959,11.108,37.82,1
-122.27,104200,456,52,1630,"D",400,1162,12.475,37.82,1
-122.28,87500,235,52,1170,"D",233,701,16.098,37.82,1
-122.28,83100,243,52,945,"D",220,576,14.113,37.82,1
-122.28,87500,288,52,1238,"D",259,622,15.057,37.82,1
-122.28,85300,335,52,1489,"D",244,728,0.8172,37.82,1
-122.28,80300,341,52,1387,"D",304,1074,12.171,37.82,1
-122.29,60000,43,2,158,"D",57,94,25.625,37.82,1
-122.29,75700,211,52,1121,"D",187,554,33.929,37.83,1
-122.29,75000,29,49,135,"D",23,86,61.183,37.82,1
-122.29,86100,190,50,760,"D",122,377,0.9011,37.81,1
-122.3,76100,237,52,1224,"D",159,521,1.191,37.81,1
-122.3,73500,182,48,828,"D",133,392,25.938,37.81,1
-122.3,78400,209,52,1010,"D",187,604,11.667,37.81,1
-122.3,84400,354,48,1455,"D",332,788,0.8056,37.81,1
-122.29,81300,244,52,1027,"D",147,492,26.094,37.8,1
-122.3,85000,109,52,572,"D",82,274,18.516,37.81,1
-122.29,129200,644,46,2801,"D",611,1823,0.9802,37.81,1
-122.29,82500,152,26,768,"D",127,392,17.719,37.81,1
-122.29,95200,297,46,935,"D",277,582,0.7286,37.81,1
-122.29,75000,204,49,844,"D",152,560,1.75,37.81,1
-122.29,67500,4,46,12,"D",7,18,0.4999,37.81,1
-122.29,137500,161,20,835,"D",133,290,2.483,37.81,1
-122.28,177500,462,17,1237,"D",439,762,0.9241,37.81,1
-122.28,102100,562,36,2914,"D",509,1236,24.464,37.81,1
-122.28,108300,243,19,1207,"D",207,721,11.111,37.81,1
-122.29,112500,374,23,1745,"D",325,1054,0.8026,37.81,1
-122.28,131300,176,38,684,"D",155,344,20.114,37.8,1
-122.28,162500,289,17,924,"D",289,609,1.5,37.81,1
-122.27,112500,56,52,210,"D",56,183,11.667,37.81,1
-122.28,112500,97,52,340,"D",87,200,15.208,37.81,1
-122.28,137500,164,52,386,"D",155,346,0.8075,37.81,1
-122.28,118800,184,35,948,"D",169,467,18.088,37.81,1
-122.28,98200,143,52,773,"D",115,377,24.083,37.81,1
-122.27,118800,451,40,880,"D",380,582,0.977,37.81,1
-122.27,162500,348,10,875,"D",330,546,0.76,37.81,1
-122.27,137500,42,10,105,"D",39,125,0.9722,37.8,1
-122.27,500001,78,52,249,"D",85,396,12.434,37.8,1
-122.27,162500,392,16,994,"D",362,800,20.938,37.8,1
-122.28,137500,87,52,215,"D",88,904,0.8668,37.8,1
-122.28,162500,31,52,96,"D",34,191,0.75,37.8,1
-122.27,187500,347,27,1055,"D",302,718,26.354,37.79,1
-122.27,179200,623,39,1715,"D",467,1327,18.477,37.8,1
-122.26,130000,2477,36,5329,"D",2323,3469,20.096,37.8,2
-122.26,183800,1331,31,4596,"D",1180,2048,28.345,37.82,1
-122.26,125000,107,29,335,"D",91,202,20.062,37.81,1
-122.26,170000,1270,22,3682,"D",1250,2024,12.185,37.82,1
-122.26,193100,1085,37,3633,"D",980,1838,26.104,37.82,1
-122.25,257800,1414,29,4656,"D",1250,2304,24.912,37.81,2
-122.25,273400,1603,28,5806,"D",1497,2563,32.177,37.81,2
-122.25,237500,242,39,854,"D",228,389,3.125,37.81,1
-122.25,350000,701,52,2155,"D",613,895,25.795,37.81,1
-122.26,335700,1914,34,5871,"D",1789,2689,28.406,37.81,2
-122.24,313400,225,52,1509,"D",244,674,49.306,37.82,1
-122.24,268500,482,52,2026,"D",456,709,32.727,37.81,1
-122.25,259400,460,52,1758,"D",422,686,31.691,37.81,1
-122.24,275700,751,52,3481,"D",718,1444,3.9,37.82,1
-122.25,225000,855,28,3337,"D",802,1520,39.063,37.82,1
-122.25,262500,289,52,1424,"D",253,550,50.917,37.82,1
-122.25,218500,1098,32,3809,"D",1022,1806,26.429,37.82,1
-122.25,255000,1196,26,3959,"D",1217,1749,30.233,37.82,1
-122.25,224100,559,52,2376,"D",519,939,31.484,37.83,1
-122.25,243100,428,35,1613,"D",422,675,34.722,37.83,1
-122.25,231600,287,52,1279,"D",291,534,31.429,37.83,1
-122.25,218500,1750,28,5022,"D",1661,2558,24.234,37.83,2
-122.25,234100,1105,52,4190,"D",1037,1786,30.897,37.83,1
-122.23,327600,399,50,2515,"D",373,970,58.596,37.84,1
-122.23,347600,454,47,3175,"D",485,1098,52.868,37.84,1
-122.24,366100,406,41,2576,"D",376,794,5.956,37.83,1
-122.24,335000,54,37,334,"D",47,98,49.643,37.85,1
-122.23,373600,411,52,2800,"D",403,1061,63.434,37.85,1
-122.24,389500,574,52,3529,"D",555,1177,51.773,37.84,1
-122.24,391100,365,52,2612,"D",367,901,72.354,37.85,1
-122.22,337300,1048,28,5287,"D",956,2031,5.457,37.85,1
-122.22,295200,473,50,2935,"D",479,1031,7.5,37.84,1
-122.21,292300,597,44,3424,"D",597,1358,60.194,37.84,1
-122.21,411500,674,40,4991,"D",654,1616,75.544,37.83,1
-122.2,311500,346,30,2211,"D",343,844,60.666,37.84,1
-122.21,325900,490,34,3038,"D",496,1140,70.548,37.84,1
-122.19,392600,210,18,1617,"D",194,533,116.017,37.84,1
-122.2,319300,460,35,2865,"D",443,1072,74.882,37.84,1
-122.21,333300,788,34,5065,"D",766,1627,68.976,37.83,1
-122.19,335200,184,28,1326,"D",190,463,82.049,37.83,1
-122.2,351200,223,26,1589,"D",211,542,8.401,37.83,1
-122.19,368900,271,29,1791,"D",269,661,68.538,37.83,1
-122.19,365900,264,32,1835,"D",263,635,8.317,37.82,1
-122.2,366700,181,37,1229,"D",176,420,70.175,37.82,1
-122.2,362800,534,39,3770,"D",500,1265,63.302,37.82,1
-122.18,483300,38,30,292,"D",52,126,63.624,37.81,1
-122.21,331400,333,52,2375,"D",350,813,70.549,37.82,1
-122.2,323500,436,45,2964,"D",426,1067,67.851,37.81,1
-122.21,216700,605,50,2833,"D",552,1260,28.929,37.8,1
-122.21,233100,535,38,2254,"D",487,951,30.812,37.8,1
-122.21,296400,212,52,1389,"D",224,510,52.402,37.81,1
-122.22,273700,335,52,1971,"D",308,765,65.217,37.81,1
-122.22,227700,465,52,2183,"D",460,1129,32.632,37.8,1
-122.22,199600,464,52,2286,"D",441,1073,30.298,37.8,1
-122.22,239800,541,52,2721,"D",515,1185,45.428,37.8,1
-122.22,270100,339,52,2024,"D",340,756,4.072,37.81,1
-122.22,302100,536,52,2944,"D",521,1034,53.509,37.81,1
-122.23,269500,486,52,2033,"D",459,787,31.603,37.8,1
-122.23,314700,229,52,1433,"D",213,612,47.708,37.81,1
-122.22,390100,402,52,2927,"D",380,1021,81.564,37.81,1
-122.23,410300,292,52,2315,"D",258,861,88.793,37.81,1
-122.24,352400,313,52,2485,"D",327,953,68.591,37.81,1
-122.24,287300,238,52,1490,"D",256,634,60.302,37.81,1
-122.23,348700,365,52,2814,"D",352,878,7.508,37.81,1
-122.24,243800,550,52,2093,"D",483,918,27.477,37.81,1
-122.24,211500,168,52,888,"D",175,360,21.944,37.8,1
-122.25,218400,510,52,2087,"D",488,1197,30.149,37.8,1
-122.24,269900,502,52,2513,"D",518,1048,3.675,37.81,1
-122.25,218800,835,46,3232,"D",747,1373,3.225,37.81,1
-122.25,225000,1065,42,4120,"D",1015,1715,29.345,37.8,1
-122.25,250000,792,43,2364,"D",722,1359,21.429,37.8,1
-122.25,171400,469,41,1471,"D",413,1062,16.121,37.8,1
-122.25,193800,864,29,2468,"D",773,1335,13.929,37.8,1
-122.24,125000,492,27,1632,"D",429,1171,23.173,37.79,1
-122.25,97500,526,45,1786,"D",460,1475,17.772,37.79,1
-122.25,125000,188,50,629,"D",196,742,26.458,37.79,1
-122.25,138800,391,52,1339,"D",363,1086,2.181,37.79,1
-122.25,116700,606,36,1678,"D",543,1645,22.303,37.8,1
-122.25,151800,647,43,2344,"D",644,1710,16.504,37.8,1
-122.24,127000,228,52,996,"D",228,731,22.697,37.8,1
-122.24,128600,373,52,1591,"D",347,1118,21.563,37.8,1
-122.24,140600,398,52,1586,"D",335,1006,21.348,37.8,1
-122.24,182700,588,47,2046,"D",554,1213,26.292,37.8,1
-122.23,146900,289,52,1192,"D",257,772,23.833,37.8,1
-122.24,122800,420,52,1803,"D",401,1321,2.957,37.8,1
-122.24,169300,749,49,2838,"D",677,1487,25.238,37.8,1
-122.23,126600,184,52,783,"D",186,488,19.375,37.8,1
-122.23,127900,414,51,1590,"D",392,949,19.028,37.8,1
-122.23,123500,480,50,1746,"D",415,1149,2.25,37.8,1
